FID,osmid,y,x,street_cou,ref,highway
34274,828139657.000000000000000,31.324661500000001,121.510673699999998,3.000000000000000, ,traffic_signals
34275,828139677.000000000000000,31.324959199999999,121.502075199999993,3.000000000000000, ,traffic_signals
34276,828139678.000000000000000,31.324961500000001,121.502195000000000,4.000000000000000, ,traffic_signals
34277,828139682.000000000000000,31.324882500000001,121.505003200000004,3.000000000000000, ,traffic_signals
34278,828139737.000000000000000,31.330759199999999,121.512077099999999,4.000000000000000, ,traffic_signals
34279,828139738.000000000000000,31.330893700000001,121.512109699999996,4.000000000000000, ,traffic_signals
34280,828150707.000000000000000,31.336459000000001,121.504595499999994,3.000000000000000, ,traffic_signals
34281,828150710.000000000000000,31.336367899999999,121.504712299999994,4.000000000000000, ,traffic_signals
34282,828150720.000000000000000,31.334496600000001,121.509575499999997,4.000000000000000, ,traffic_signals
34283,828150725.000000000000000,31.334348599999998,121.513684400000002,4.000000000000000, ,traffic_signals
34284,828150728.000000000000000,31.334308100000001,121.513765899999996,3.000000000000000, ,traffic_signals
34285,828150736.000000000000000,31.343863599999999,121.519443100000004,3.000000000000000, , 
34286,828150863.000000000000000,31.330887900000000,121.507997900000007,4.000000000000000, ,traffic_signals
34287,828150866.000000000000000,31.330760399999999,121.507990500000005,4.000000000000000, ,traffic_signals
34288,828150872.000000000000000,31.328683999999999,121.508342700000000,4.000000000000000, ,traffic_signals
34289,828150923.000000000000000,31.328771300000000,121.511957499999994,3.000000000000000, ,traffic_signals
34290,828151029.000000000000000,31.339095400000001,121.507324299999993,3.000000000000000, ,traffic_signals
34291,828151056.000000000000000,31.339032300000000,121.507432699999995,4.000000000000000, ,traffic_signals
34292,828169906.000000000000000,31.337064399999999,121.516772900000007,3.000000000000000, ,traffic_signals
34293,828169912.000000000000000,31.343831800000000,121.519520299999996,3.000000000000000, , 
34294,828169927.000000000000000,31.337618899999999,121.512147799999994,4.000000000000000, ,traffic_signals
34295,828169932.000000000000000,31.337113299999999,121.516675399999997,4.000000000000000, ,traffic_signals
34296,828169936.000000000000000,31.342419100000001,121.509012100000007,3.000000000000000, ,traffic_signals
34297,828169959.000000000000000,31.342439700000000,121.508874700000007,3.000000000000000, ,traffic_signals
34298,828169963.000000000000000,31.342267300000000,121.518417799999995,4.000000000000000, ,traffic_signals
34299,828171201.000000000000000,31.342205900000000,121.513131099999995,3.000000000000000, ,traffic_signals
34300,828174330.000000000000000,31.345132000000000,121.502151499999997,4.000000000000000, ,traffic_signals
34301,828174338.000000000000000,31.345057600000001,121.502271899999997,4.000000000000000, ,traffic_signals
34302,828174347.000000000000000,31.349710900000002,121.505153399999998,1.000000000000000, , 
34303,828174350.000000000000000,31.348590999999999,121.504475799999994,3.000000000000000, , 
34304,828180884.000000000000000,31.319589799999999,121.510487400000002,4.000000000000000, ,traffic_signals
34305,828180952.000000000000000,31.342265699999999,121.518540599999994,3.000000000000000, ,traffic_signals
34306,828180989.000000000000000,31.328772099999998,121.511848599999993,4.000000000000000, ,traffic_signals
34307,829438104.000000000000000,31.307949000000001,121.541110000000003,3.000000000000000, , 
34308,829478535.000000000000000,31.260109199999999,121.508777800000004,4.000000000000000, ,traffic_signals
34309,829478639.000000000000000,31.259983800000001,121.508642300000005,4.000000000000000, ,traffic_signals
34310,829478985.000000000000000,31.261819599999999,121.507269399999998,4.000000000000000, ,traffic_signals
34311,829479319.000000000000000,31.261681800000002,121.507153000000002,4.000000000000000, ,traffic_signals
34312,829479570.000000000000000,31.263271700000001,121.505867400000000,4.000000000000000, , 
34313,829479884.000000000000000,31.263142899999998,121.505770299999995,4.000000000000000, , 
34314,829479889.000000000000000,31.264572600000001,121.504049600000002,4.000000000000000, ,traffic_signals
34315,829479911.000000000000000,31.264613700000002,121.504240300000006,4.000000000000000, ,traffic_signals
34316,829480422.000000000000000,31.264729500000001,121.504103400000005,4.000000000000000, ,traffic_signals
34317,829480543.000000000000000,31.266653399999999,121.502768599999996,4.000000000000000, ,traffic_signals
34318,829481105.000000000000000,31.266599899999999,121.502638200000007,4.000000000000000, ,traffic_signals
34319,829481188.000000000000000,31.270618100000000,121.502045600000002,4.000000000000000, ,traffic_signals
34320,829483054.000000000000000,31.274907899999999,121.499333100000001,3.000000000000000, , 
34321,829483445.000000000000000,31.276813600000001,121.497142900000000,4.000000000000000, ,traffic_signals
34322,829483447.000000000000000,31.274958200000000,121.499388400000001,4.000000000000000, , 
34323,829484243.000000000000000,31.276729499999998,121.497040900000002,4.000000000000000, ,traffic_signals
34324,829484246.000000000000000,31.276850300000000,121.496883699999998,4.000000000000000, ,traffic_signals
34325,829484298.000000000000000,31.276942999999999,121.496980600000001,4.000000000000000, ,traffic_signals
34326,829487341.000000000000000,31.278162900000002,121.494504399999997,3.000000000000000, , 
34327,829487350.000000000000000,31.278266400000000,121.492138400000002,4.000000000000000, , 
34328,829487525.000000000000000,31.278562800000000,121.486034200000006,4.000000000000000, , 
34329,829488048.000000000000000,31.278571700000001,121.485883500000000,4.000000000000000, , 
34330,829488081.000000000000000,31.278434000000001,121.485874499999994,4.000000000000000, , 
34331,829489326.000000000000000,31.277403000000000,121.479769399999995,4.000000000000000, , 
34332,829489342.000000000000000,31.277179700000001,121.475913599999998,4.000000000000000, ,traffic_signals
34333,829489344.000000000000000,31.277260900000002,121.475583999999998,4.000000000000000, ,traffic_signals
34334,829489640.000000000000000,31.278044399999999,121.481091199999995,3.000000000000000, ,traffic_signals
34335,829489869.000000000000000,31.277831299999999,121.473976199999996,4.000000000000000, ,traffic_signals
34336,833705100.000000000000000,31.157712600000000,121.648996999999994,3.000000000000000, , 
34337,836039209.000000000000000,31.154573800000001,121.524098400000000,4.000000000000000, , 
34338,836039211.000000000000000,31.154361000000002,121.520438900000002,3.000000000000000, , 
34339,844179365.000000000000000,31.313621900000001,121.505358999999999,3.000000000000000, , 
34340,844179549.000000000000000,31.313945900000000,121.504350099999996,3.000000000000000, , 
34341,844180126.000000000000000,31.341510400000001,121.524643299999994,3.000000000000000, , 
34342,844180257.000000000000000,31.333810100000001,121.524102900000003,4.000000000000000, ,traffic_signals
34343,845389542.000000000000000,31.229724000000001,121.483003600000004,3.000000000000000, , 
34344,845390842.000000000000000,31.232253400000001,121.483000099999998,4.000000000000000, , 
34345,845390852.000000000000000,31.231207999999999,121.483283999999998,3.000000000000000, , 
34346,845400794.000000000000000,31.318228600000001,121.502324599999994,4.000000000000000, ,traffic_signals
34347,845400873.000000000000000,31.318211000000002,121.502158399999999,4.000000000000000, ,traffic_signals
34348,845401344.000000000000000,31.317315600000001,121.493076400000007,4.000000000000000, , 
34349,845884040.000000000000000,31.167674099999999,121.476003399999996,3.000000000000000, , 
34350,845887592.000000000000000,31.161939300000000,121.478315199999997,3.000000000000000, , 
34351,845887594.000000000000000,31.161682200000001,121.478293800000003,3.000000000000000, , 
34352,845887732.000000000000000,31.161737299999999,121.478669300000007,3.000000000000000, , 
34353,845893805.000000000000000,31.156001799999999,121.480663899999996,3.000000000000000, , 
34354,845894424.000000000000000,31.154436600000000,121.481050999999994,3.000000000000000, , 
34355,845894429.000000000000000,31.155562700000001,121.480670300000000,3.000000000000000, , 
34356,845895157.000000000000000,31.151743000000000,121.481964700000006,3.000000000000000, , 
34357,845895172.000000000000000,31.149247700000000,121.478473500000007,3.000000000000000, , 
34358,845905868.000000000000000,31.147881600000002,121.471540399999995,3.000000000000000, , 
34359,845905897.000000000000000,31.147867000000002,121.471417700000003,3.000000000000000, , 
34360,845907888.000000000000000,31.149574500000000,121.482883799999996,4.000000000000000, , 
34361,845907891.000000000000000,31.149584699999998,121.483240199999997,4.000000000000000, , 
34362,846049800.000000000000000,31.208883600000000,121.727587299999996,3.000000000000000, , 
34363,846049832.000000000000000,31.154803699999999,121.752786200000003,3.000000000000000, , 
34364,846049835.000000000000000,31.156752800000000,121.751880799999995,4.000000000000000, , 
34365,846049873.000000000000000,31.176049899999999,121.743276300000005,3.000000000000000, , 
34366,846049890.000000000000000,31.184772500000001,121.739473300000000,3.000000000000000, , 
34367,847909983.000000000000000,31.202207200000000,121.518241799999998,3.000000000000000, , 
34368,847909996.000000000000000,31.201753799999999,121.520503399999996,3.000000000000000, , 
34369,847909997.000000000000000,31.201660900000000,121.521327700000001,3.000000000000000, , 
34370,847910000.000000000000000,31.202962599999999,121.515761200000000,3.000000000000000, , 
34371,847910096.000000000000000,31.203197500000002,121.515385699999996,3.000000000000000, , 
34372,847910448.000000000000000,31.199483900000001,121.531577499999997,3.000000000000000, , 
34373,847910713.000000000000000,31.199604900000001,121.531592900000007,3.000000000000000, , 
